total_words;total_sentences;total_syllables;complex_words;letter_count;common_words;total_different_words;different_advanced_words;flesch_reading_ease;flesch_kinkaid;gunning_fog;coleman_liau;smog_grade;automated_readibility_index;lexical_density;beyond_2000;advanced_ttr;advanced_guiraud;ttr;rttr;cttr;m;h;s;u;mwf;r;bigram_model;bigram_perplexety;a1_words;a2_words;b1_words;b2_words;c1_words;c2_words;bigram_model_reverse;bigram_perplexety_reverse;words_per_sentence;sentences_per_paragraph;simple_errors_per_word;complex_errors_per_word;level
28;1;52;8;148;20;26;21;21.300718;7.13;11.2;14.2228565;19.287186;16.12;46.42857142857143;0.71428573;0.75;3.968627;0.9285714;4.913538;3.4743962;0.006674237;0.9777601;0.9813141;149.82986;1.0769231;4.913538;0.27717096;0.27717096;14.0;10.0;6.0;8.0;7.0;6.0;0.722106;0.722106;28.0;1.0;0.0;0.0;2
66;4;97;9;289;56;48;31;65.75114;2.45;6.4;8.153333;11.407656;5.41;51.515151515151516;0.8484849;0.46969697;3.8158362;0.72727275;5.9083915;4.1778636;0.018142197;0.9239905;0.94481885;55.120117;1.375;5.9083915;2.0217538;2.0217538;39.0;39.0;28.0;18.0;12.0;11.0;3.3007426;3.3007426;16.5;4.0;0.0;0.0;2
39;6;51;2;147;32;33;23;89.606735;-1.45;2.4;1.8092318;6.427356;-4.3;56.41025641025641;0.82051283;0.5897436;3.6829476;0.84615386;5.2842293;3.7365143;0.012446581;0.9544012;0.96405584;80.343346;1.1818181;5.2842293;0.77477527;0.77477527;21.0;21.0;16.0;13.0;10.0;4.0;0.6819984;0.6819984;6.5;6.0;3.0;0.0;2
52;3;76;9;242;41;40;26;65.59551;2.84;6.8;9.856923;13.023867;5.91;48.07692307692308;0.78846157;0.5;3.6055512;0.7692308;5.547002;3.9223228;0.016804943;0.9335996;0.9499955;59.5063;1.3;5.547002;1.0022767;1.0022767;29.0;31.0;23.0;11.0;9.0;6.0;1.2037619;1.2037619;17.333334;3.0;0.0;0.0;2
38;1;51;3;155;33;35;20;54.722893;11.03;15.2;7.4052634;13.023867;16.41;60.526315789473685;0.8684211;0.5263158;3.2444284;0.92105263;5.6777496;4.0147753;0.0062150764;0.97739214;0.9822915;160.89906;1.0857143;5.6777496;1.3606544;1.3606544;20.0;25.0;20.0;14.0;9.0;4.0;1.7932017;1.7932017;38.0;1.0;1.0;0.0;2
62;4;80;6;257;44;49;34;81.941216;2.06;6.0;6.6638703;9.888513;4.91;54.83870967741935;0.7096774;0.5483871;4.318004;0.7903226;6.2230062;4.40033;0.013814994;0.9429837;0.95858705;72.38512;1.2653061;6.2230062;2.3674288;2.3674288;33.0;30.0;22.0;15.0;15.0;6.0;1.1070946;1.1070946;15.5;4.0;2.0;0.0;2
37;2;51;3;172;32;34;15;71.446686;3.23;7.2000003;9.934054;10.125756;6.41;54.054054054054056;0.8648649;0.4054054;2.4659848;0.9189189;5.5895658;3.9524198;0.006485095;0.9765829;0.98154485;154.19975;1.0882353;5.5895658;1.0641412;1.0641412;23.0;24.0;13.0;10.0;7.0;3.0;1.6936071;1.6936071;18.5;2.0;0.0;0.0;2
66;3;86;3;257;55;48;31;74.26864;4.79;8.8;5.75091;8.841846;3.7;45.45454545454545;0.8333333;0.46969697;3.8158362;0.72727275;5.9083915;4.1778636;0.018142197;0.9239905;0.94481885;55.120117;1.375;5.9083915;3.4315705;3.4315705;45.0;42.0;26.0;18.0;18.0;10.0;4.0639753;4.0639753;22.0;3.0;3.0;1.0;2
32;4;39;1;113;25;27;16;95.60875;-0.67;3.2;1.26375;5.8886185;-3.3;50.0;0.78125;0.5;2.828427;0.84375;4.7729707;3.375;0.014144903;0.9509775;0.9595592;70.69684;1.1851852;4.7729707;1.038836;1.038836;20.0;20.0;7.0;7.0;4.0;3.0;1.2660477;1.2660477;8.0;2.0;2.0;1.0;2
51;2;64;4;206;40;37;20;74.78779;5.96;10.0;6.789804;11.208143;9.91;52.94117647058824;0.78431374;0.39215687;2.8005602;0.7254902;5.1810365;3.6635458;0.020758294;0.918382;0.937812;48.173515;1.3783784;5.1810365;0.8166892;0.8166892;29.0;25.0;19.0;9.0;5.0;6.0;2.2349956;2.2349956;25.5;2.0;2.0;0.0;2
