total_words;total_sentences;total_syllables;complex_words;letter_count;common_words;total_different_words;different_advanced_words;flesch_reading_ease;flesch_kinkaid;gunning_fog;coleman_liau;smog_grade;automated_readibility_index;lexical_density;beyond_2000;advanced_ttr;advanced_guiraud;ttr;rttr;cttr;m;h;s;u;mwf;r;bigram_model;bigram_perplexety;a1_words;a2_words;b1_words;b2_words;c1_words;c2_words;bigram_model_reverse;bigram_perplexety_reverse;words_per_sentence;sentences_per_paragraph;simple_errors_per_word;complex_errors_per_word;level
257;9;355;29;1083;228;145;87;60.99118893212281;7.129999999999999;11.200000000000001;7.941789883268484;12.857556352371635;11.410000000000004;50.97276264591439;0.8871595330739299;0.33852140077821014;5.426910895500706;0.5642023346303502;9.044851492501177;6.395675825172848;0.01858722334519364;0.8968580834505798;0.9364754642353282;53.80039726367113;1.7724137931034483;9.044851492501177;12.174874538351633;12.174874538351633;164.0;167.0;112.0;78.0;53.0;37.0;12.346557571256712;12.346557571256712;28.555555555555557;3.0;5.0;0.0;4
199;17;338;43;1048;139;144;107;51.26106710020693;0.5;4.4;12.637386934673366;9.968508380846986;7.620000000000001;61.30653266331658;0.6984924623115578;0.5376884422110553;7.585028893589194;0.7236180904522613;10.207889352120036;7.218067782486031;0.011545403050560128;0.9388866623290812;0.9621586122497509;86.61455954554005;1.3819444444444444;10.207889352120036;6.757119551525225;6.757119551525225;77.0;75.0;66.0;63.0;31.0;24.0;4.070575412672048;4.070575412672048;11.705882352941176;3.4;5.0;2.0;4
186;10;320;42;936;140;127;82;42.40761290322584;3.2300000000000004;7.2;12.198279569892474;14.836745963215662;11.119999999999997;60.752688172043015;0.7526881720430108;0.44086021505376344;6.012531715875485;0.6827956989247311;9.312091803855933;6.584643261538201;0.01397222802767473;0.9269846758600164;0.9541495220821997;71.57054680322311;1.4645669291338583;9.312091803855933;7.281542926548381;7.281542926548381;103.0;91.0;57.0;48.0;31.0;26.0;5.182682345978588;5.182682345978588;18.6;5.0;10.0;3.0;4
251;25;388;38;1143;197;153;100;65.86830438247014;0.11000000000000121;4.0;8.028047808764939;9.558583805096642;2.41;56.17529880478087;0.7848605577689243;0.398406374501992;6.311944030978032;0.6095617529880478;9.657274367396388;6.828724192965012;0.016213717659261235;0.910411866105382;0.9450917917180945;61.6761695877196;1.6405228758169934;9.657274367396388;11.48537323789046;11.48537323789046;140.0;137.0;88.0;73.0;60.0;37.0;10.578233599458576;10.578233599458576;10.04;4.166666666666667;2.0;0.0;4
249;9;397;45;1191;170;164;118;43.86899598393575;6.740000000000002;10.8;11.254939759036144;15.247664890283005;10.910000000000004;50.602409638554214;0.6827309236947792;0.4738955823293173;7.47794615618884;0.6586345381526104;10.393077708601439;7.349015725150822;0.013717316178751446;0.9243153541178256;0.9539193037630117;72.90055773074847;1.5182926829268293;10.393077708601439;7.727390138390394;7.727390138390394;122.0;123.0;80.0;72.0;42.0;24.0;10.374562208369898;10.374562208369898;27.666666666666668;3.0;5.0;2.0;4
156;9;206;12;659;139;93;63;77.52628205128207;2.84;6.800000000000001;7.331538461538461;9.3871;5.91;57.692307692307686;0.8910256410256411;0.40384615384615385;5.044036844860245;0.5961538461538461;7.445959151936552;5.26508820877237;0.020283737392734116;0.8975700468778296;0.9332673815222235;49.300579111136216;1.6774193548387097;7.445959151936552;7.072434365307886;7.072434365307886;90.0;89.0;59.0;42.0;44.0;30.0;7.539688202570461;7.539688202570461;17.333333333333332;3.0;1.0;0.0;4
223;9;341;33;1029;163;148;100;52.31963627304438;5.57;9.600000000000001;10.137757847533631;13.506818969022046;9.41;54.7085201793722;0.7309417040358744;0.4484304932735426;6.696495301824251;0.6636771300448431;9.910813046699891;7.008003112393601;0.014021698354116423;0.9241822684716928;0.9532827258595963;71.31803685581532;1.5067567567567568;9.910813046699891;5.9120818903397545;5.9120818903397545;114.0;110.0;76.0;53.0;25.0;19.0;6.194736255533458;6.194736255533458;24.77777777777778;4.5;4.0;3.0;4
147;9;219;19;646;110;109;77;64.21993197278914;2.4499999999999993;6.4;8.227755102040817;11.003577315987393;5.41;52.38095238095239;0.7482993197278912;0.5238095238095238;6.3508529610858835;0.7414965986394558;8.990168477381316;6.357009094365867;0.01200930339817408;0.9400683809772394;0.9615540952465171;83.26877645143365;1.348623853211009;8.990168477381316;5.586206891268942;5.586206891268942;84.0;81.0;57.0;40.0;14.0;14.0;4.683559163284831;4.683559163284831;16.333333333333332;2.25;3.0;1.0;4
228;21;332;28;990;174;139;94;72.62552631578947;0.11000000000000121;4.0;7.005263157894735;8.648137234880735;2.41;50.877192982456144;0.7631578947368421;0.41228070175438597;6.225302078205706;0.6096491228070176;9.205499881602055;6.509271390492773;0.01678794880369904;0.9088524235435257;0.9435089864848831;59.566538574364785;1.6402877697841727;9.205499881602055;9.109011183008409;9.109011183008409;133.0;118.0;82.0;59.0;37.0;29.0;10.280560944044517;10.280560944044517;10.857142857142858;5.25;1.0;1.0;4
193;10;296;21;909;153;133;89;57.49627720207258;3.620000000000001;7.6000000000000005;10.36020725388601;11.407655852321103;6.91;57.51295336787565;0.7927461139896373;0.46113989637305697;6.4063601816633815;0.689119170984456;9.573549484957638;6.769521760838526;0.013443901545136486;0.929248911237807;0.9558130972880315;74.38316895155809;1.4511278195488722;9.573549484957638;6.71112462542473;6.71112462542473;111.0;104.0;88.0;47.0;43.0;15.0;7.870130098142679;7.870130098142679;19.3;1.6666666666666667;3.0;0.0;4
209;12;294;22;851;182;129;78;70.15038476874004;2.84;6.800000000000001;6.44248803827751;10.047579312681364;5.91;52.15311004784689;0.8708133971291866;0.37320574162679426;5.395372818155382;0.6172248803827751;8.923116583872362;6.309596245774289;0.01690654513702114;0.9096795848321029;0.94350721836898;59.14869016084475;1.62015503875969;8.923116583872362;8.45213289810425;8.45213289810425;136.0;113.0;77.0;50.0;33.0;27.0;9.330675586976602;9.330675586976602;17.416666666666668;6.0;2.0;0.0;4
