total_words;total_sentences;total_syllables;complex_words;letter_count;common_words;total_different_words;different_advanced_words;advanced_ttr;advanced_guiraud;ttr;rttr;cttr;h;s;mwf;r;bigram_perplexety;a1_words;a2_words;b1_words;b2_words;c1_words;c2_words;bigram_perplexety_reverse;simple_errors_per_word;complex_errors_per_word;level
-1.092167181;-0.643894614;-1.096244694;-1.013429618;-1.106466593;-1.016754488;-1.211730047;-1.295641511;-2.268399472;-1.973842629;0.422714497;-1.545179563;-1.545179563;-0.200971853;-1.006611061;-0.550673408;-1.545179563;-1.051065019;-0.868222091;-1.043666668;-1.096660002;-1.128965497;-1.000156268;-0.953325356;-0.966029082;-0.644302525;-0.626135038;1
-1.092167181;-1.107684252;-1.133139023;-1.061060651;-1.117008107;-1.089177812;-1.180302796;-1.041490336;1.872716954;-0.897453709;0.848850349;-1.394403288;-1.394403288;0.494703516;-0.00821263;-0.885131167;-1.394403288;-0.933495169;-1.067035317;-1.058810928;-1.11740454;-1.071158764;-1.084061995;-1.082882596;-1.013741751;-0.008477665;-0.626135038;1
-1.158358295;-1.107684252;-1.148950878;-1.013429618;-1.14687573;-1.120216379;-1.306011801;-1.210924452;0.447816678;-1.451388449;0.408968179;-1.78660259;-1.78660259;-0.432363444;-1.585904551;-0.539114668;-1.78660259;-0.698690416;-1.109638151;-1.164820747;-1.075915464;-1.128965497;-1.042109131;-0.953325356;-1.067261569;-0.856244145;-0.626135038;1
-1.191453853;-1.262280798;-1.196386443;-1.108691684;-1.187284867;-1.140908757;-1.321725426;-1.274462246;-0.082810247;-1.666873991;1.014569848;-1.73811972;-1.73811972;0.514842147;-0.269240329;-1.003828589;-1.73811972;-1.024400046;-1.16644193;-1.089099448;-1.11740454;-1.071158764;-1.042109131;-1.082882596;-1.095126866;-0.856244145;-0.626135038;1
-1.141810517;-1.107684252;-1.122597786;-0.965798584;-1.150389568;-1.10987019;-1.196016421;-1.168565923;0.868809941;-1.302808463;1.797971112;-1.272769172;-1.272769172;1.847748971;1.826809016;-1.494444598;-1.272769172;-1.093081195;-1.095437207;-1.058810928;-1.096660002;-0.868835198;-0.916250541;-0.823768116;-1.236047265;-0.220419285;-0.049052054;1
-1.108714959;-1.262280798;-1.138409641;-1.108691684;-1.11173735;-1.078831623;-1.180302796;-1.210924452;-0.608222166;-1.579160395;1.205883091;-1.33207149;-1.33207149;1.01693698;0.699779832;-1.133830527;-1.33207149;-1.005077107;-1.024432483;-1.073955188;-1.055170926;-1.100062131;-1.084061995;-1.082882596;-1.20825592;-0.432360905;-0.626135038;1
-1.174906074;-0.953087706;-1.133139023;-1.013429618;-1.134577297;-1.171947324;-1.243157298;-1.147386659;2.289208548;-1.088153383;1.98031451;-1.370956867;-1.370956867;2.078464486;2.118398625;-1.594384896;-1.370956867;-1.002042967;-1.138040041;-1.210253527;-1.262616306;-1.27348233;-1.251873449;-1.147661216;-1.135254023;-0.008477665;-0.049052054;1
-1.158358295;-0.79849116;-1.085703457;-0.822905485;-1.101195836;-1.171947324;-1.243157298;-1.168565923;1.316115283;-1.250169246;1.48118097;-1.448370769;-1.448370769;1.352030937;1.086194215;-1.308841187;-1.448370769;-1.006409545;-1.180642875;-1.164820747;-1.11740454;-1.128965497;-1.126014859;-1.018103976;-1.248780269;-0.644302525;-0.049052054;1
-1.208001631;-1.262280798;-1.191115824;-1.061060651;-1.174986434;-1.213332081;-1.431720805;-1.274462246;0.395718762;-1.616123142;-0.770465891;-2.319039251;-2.319039251;-3.175239039;-6.484534626;0.689964775;-2.319039251;-1.11478216;-1.180642875;-1.195109267;-1.11740454;-1.100062131;-1.000156268;-1.341997075;-1.08305221;-0.432360905;-0.049052054;1
-1.158358295;-1.107684252;-1.164762733;-1.013429618;-1.162688001;-1.161601135;-1.211730047;-1.083848865;3.052712494;-0.847730839;2.017287365;-1.279254858;-1.279254858;2.147271466;2.235430194;-1.614077565;-1.279254858;-1.189196966;-1.138040041;-1.149676487;-1.200382692;-1.244578963;-1.126014859;-1.212439835;-1.241951744;0.203463955;0.528030931;1
-1.183179963;-1.262280798;-1.185845206;-1.108691684;-1.1995833;-1.202985892;-1.274584549;-1.168565923;2.106887228;-1.160873642;1.663074211;-1.507120449;-1.507120449;1.589738646;1.385963313;-1.417347796;-1.507120449;-1.018154388;-1.180642875;-1.179965007;-1.158893616;-1.100062131;-1.251873449;-1.147661216;-1.061588667;-0.856244145;-0.626135038;1
