total_words;total_sentences;total_syllables;complex_words;letter_count;common_words;total_different_words;different_advanced_words;advanced_ttr;advanced_guiraud;ttr;rttr;cttr;h;s;mwf;r;bigram_perplexety;a1_words;a2_words;b1_words;b2_words;c1_words;c2_words;bigram_perplexety_reverse;simple_errors_per_word;complex_errors_per_word;level
-1.1294255415502894;-1.254975314838529;-1.0822580132370263;-0.916843686214547;-1.0957509119154112;-1.1048597911695937;-1.2223535329375725;-1.1638368203942113;0.6674513436588987;-1.321304811074241;1.08840875507311;-1.463229741561498;-1.4632297415614994;0.7885830038256743;0.3203028283446796;-1.054494245052119;-1.463229741561498;-0.6897458722906608;-1.091179748759306;-1.0841255343554452;-1.0298124027391324;-0.9518128280356903;-0.9983770962350998;-1.0793446659528145;-0.8662419528321857;-0.8595618722740974;-0.6257399132720064;1
-1.1377115806511588;-1.254975314838529;-1.092817821969966;-1.0123630629240918;-1.09399107201391;-1.115217315829945;-1.2223535329375725;-1.1638368203942113;0.8720678573997815;-1.296734067154198;1.2963835542923163;-1.4292371362761105;-1.429237136276112;1.0978801997028886;0.7501901823240045;-1.192563837363784;-1.4292371362761105;-1.0801729427500388;-1.1054010625917465;-1.099286724972502;-1.1752187224953792;-1.2124048468320647;-1.1245582567552923;-1.1442385718094241;-1.0954229011730219;0.41605328952824877;-0.04695444984736337;1
-1.1294255415502894;-0.4819739991517336;-1.1456168656346644;-1.0601227512788645;-1.134467389748434;-1.0737872171885399;-1.159437703124897;-1.1850408937387487;0.27025458169130206;-1.417414386585773;2.0688613799636517;-1.1403181120851782;-1.1403181120851797;2.2402758613400824;2.3864878254880852;-1.6412900123766965;-1.1403181120851782;-1.0445811310621331;-1.0627371210944252;-1.0841255343554452;-1.0713570655266316;-1.1544955093217593;-1.1245582567552923;-1.2091324776660337;-1.1274460026969337;-0.6469593453070398;-0.6257399132720064;1
-1.1045674242476813;-1.10037505170117;-1.0664183001376168;-0.8213243095050022;-1.0746328330973984;-1.0427146432074859;-1.190895618031235;-1.1850408937387487;-0.24502770410449837;-1.4810733919462407;0.9824138767065658;-1.4020317235997433;-1.4020317235997453;0.6727634038292012;0.2099761143667399;-0.9808571291525636;-1.4020317235997433;-0.9053263819846006;-1.0058518657646633;-1.099286724972502;-1.0713570655266316;-0.9518128280356903;-1.040437483075164;-1.0793446659528145;-0.988994832958387;-0.8595618722740974;-0.04695444984736337;1
-0.8725583294233386;-0.6365742622890926;-0.8288226036464744;-0.58252586773114;-0.7895387690542287;-0.8873517733022163;-0.781942724248844;-0.718551280158926;1.8101558742425998;-0.3137745136224489;1.4051703723454396;-0.4540120713543679;-0.4540120713543699;1.5306371589614867;1.6123077018051541;-1.2615986335196163;-0.4540120713543679;-0.8578271302418471;-0.9205239827700205;-0.8718688657166481;-1.0090400713453829;-0.7780848155047742;-0.7880751620347789;-1.1442385718094241;-0.844969502001546;-0.4343568183399821;-0.6257399132720064;1
-1.029993072339857;-0.9457747885638108;-1.0769781088705566;-1.0123630629240918;-1.053514754279386;-1.011642069226432;-1.0807929158590528;-0.9942042336379121;1.254611774393606;-0.8894677805616338;0.928552348840957;-1.1556647065346088;-1.1556647065346104;0.719248052489539;0.40817229748941325;-0.9425459269615795;-1.1556647065346088;-1.0892155970335187;-0.9489666104349014;-1.0234807718872174;-1.0921293969203811;-1.0097221655459958;-1.2086790304354207;-1.014450760096205;-1.157844188204412;-0.4343568183399821;0.5318310135772796;1
-1.162569697953767;-1.10037505170117;-1.1456168656346644;-1.0601227512788645;-1.1415067493544384;-1.146289889810999;-1.2066245754844036;-1.2274490404278233;0.21729501342895607;-1.5227372059396351;2.281292782023269;-1.231309963340344;-1.2313099633403455;2.5172339899256966;2.7560711273226604;-1.7496032270349855;-1.231309963340344;-0.9914910368174554;-1.1622863179215084;-1.099286724972502;-1.1752187224953792;-1.1255408405666065;-1.040437483075164;-1.2091324776660337;-1.1958142815555974;-0.6469593453070398;-0.6257399132720064;1
-1.1377115806511588;-1.10037505170117;-1.1614565787340738;-1.1556421279884093;-1.1555854685664468;-1.146289889810999;-1.2380824903907415;-1.206244967083286;0.05360180243624933;-1.4918438939325616;1.0438427266689954;-1.5111790652625254;-1.5111790652625274;0.699131967854574;0.16918328828518245;-1.023812113427304;-1.5111790652625254;-0.9895872315673275;-1.1338436902566273;-1.114447915589559;-1.1129017283141307;-1.1544955093217593;-1.0824978699152281;-0.8846629483829858;-1.2265707929058023;0.20345076256119105;-0.6257399132720064;1
-1.1708557370546364;-1.10037505170117;-1.1033776307029057;-0.8213243095050022;-1.1133493109304216;-1.2084350377731068;-1.2380824903907415;-1.1214286737051364;2.763006674039666;-0.9779215310497301;1.9843396019558461;-1.3635246593524268;-1.3635246593524284;2.085791949219292;2.127550147955729;-1.5965452370905082;-1.3635246593524268;-1.0960997410106583;-1.176507631753949;-1.1902538686748436;-1.2167633852828783;-1.0965861718114538;-1.2507394172754849;-1.2091324776660337;-1.0509707791085;-0.8595618722740974;-0.6257399132720064;1
-1.1708557370546364;-1.254975314838529;-1.1350570569017246;-0.9646033745693195;-1.1397469094529373;-1.1359323651506477;-1.2538114478439104;-1.1638368203942113;1.8316487494259912;-1.186052695651894;1.6969655567293085;-1.450935270039216;-1.4509352700392177;1.6561145897493317;1.4988840279730336;-1.4368408083767303;-1.450935270039216;-1.0170122551378549;-1.091179748759306;-1.129609106206616;-1.1752187224953792;-1.1544955093217593;-1.1245582567552923;-1.2740263835226433;-1.1787353999020818;-0.8595618722740974;-0.6257399132720064;1
